,% of Annual Energy Cost,Annual ROI after incentives,Cost,Description,Estimated Annual Savings,Life Cycle Savings after Incentive,Payback (Years),Payback after NYSERDA incentive (Years),Potential NYSERDA incentive,SIR after incentive,Total Annual Gallons of Oil Reduced,Total Annual Therms Reduced,Total Annual kWh Reduction,Total kW Reduction,address,Input.borough,Input.address,Answer.bbl,Answer.x,Answer.y
0,8.83%,220.10%,$425 ,Optimize Temperature Setpoint Schedule,$935 ,"$8,230 ",,0.5,-,20.4,348,-,-,-,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
1,2.82%,199.30%,$150 ,Insulate Steam Piping,$299 ,"$2,616 ",,0.5,-,18.4,111,-,-,-,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
2,<1%,105.60%,$100 ,Reduce Building Envelope Infiltration Losses,$106 ,$641 ,,0.9,-,7.4,39,-,-,-,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
3,8.46%,7.30%,"$12,320 ",Replace Windows,$896 ,"$1,004 ",,13.8,-,1.1,333,-,-,-,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
4,<1%,9.20%,$990 ,Replace Cooling Equipment,$91 ,$99 ,,10.9,-,1.1,-,-,365,0.9,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
5,4.14%,36.80%,"$3,978 ",Upgrade the Lighting to LED Lighting,$439 ,"$4,047 ",,2.7,"$2,785 ",4.4,-32,-,"2,104",1.3,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",Bronx,"Energy Assessment For: New St. John Baptist Church, 2409 Lorillard Place, Bronx NY, 10458",2030560051,1014899,251410
6,7.27%,59.30%,"$5,078 ",Upgrade the Lighting to LED Lighting,$903 ,"$9,257 ",,1.7,"$3,555 ",7.1,,-88,"4,358",1.1,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
7,<1%,34.60%,$190 ,Implement Lighting Controls,$66 ,$272 ,,2.9,-,2.4,,-,387,-,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
8,9.86%,58.40%,"$2,095 ",Optimize Temperature Setpoint Schedule and HW Distribution System,"$1,224 ","$9,234 ",,1.7,-,5.4,,"1,145",127,-,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
9,4.00%,150.40%,$330 ,Reduce Building Envelope Infiltration Losses,$496 ,"$3,154 ",,0.7,-,10.6,,401,441,-,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
10,6.58%,62.80%,"$1,300 ",Insulate Hot Water Piping,$817 ,"$6,256 ",,1.6,-,5.8,,778,-,-,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
11,4.60%,-,No Cost.,Shop Around for New Energy Supplier(s),$571 ,"$1,615 ",,Immediate,-,-,,-,-,-,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
12,13.51%,6.70%,"$29,250 ",Install Photovoltaic Solar Cells,"$1,678 ","$4,349 ",,14.8,"$4,388 ",1.2,,-,"9,868",-,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",Bronx,"Energy Assessment For: Northwest Bronx Community & Clergy Coalition, 103 E. 196th St., Bronx, NY 10468",2033150001,1013571,255649
13,3.03%,15.00%,"$2,446 ",Upgrade the Lighting to LED Lighting,$110 ,$584 ,,6.6,"$1,712 ",1.8,-8,-,522,0.9,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
14,5.66%,20.80%,$990 ,Insulate Steam Piping,$206 ,$917 ,,4.8,-,1.9,69,-,-,-,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
15,3.45%,279.30%,$45 ,Reduce Building Envelope Infiltration Losses,$126 ,$837 ,,0.4,-,19.6,42,-,-,-,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
16,3.34%,110.60%,$110 ,"Seal, Insulate, and Close Off Skylights",$122 ,"$2,275 ",,0.9,-,21.7,41,-,-,-,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
17,27.55%,7.10%,"$14,100 ",Replace Boiler and Convert to Using Natural Gas,"$1,003 ",$829 ,,14.1,-,1.1,727,-943,-,-,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
18,3.57%,15.30%,$850 ,Replace Old Refrigerators with ENERGY STAR Units,$130 ,$445 ,,6.5,-,1.5,-,-,501,-,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
19,14.09%,8.90%,"$6,750 ",Install Photovoltaic Solar Cells,$513 ,"$3,200 ",,11.2,"$1,013 ",1.6,-,-,"1,974",-,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 833 Manida Street, 833 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
20,23.63%,271.80%,$425 ,Optimize Temperature Setpoint Schedule,"$1,155 ","$10,265 ",,0.4,-,25.2,,"1,005",-,-,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
21,2.35%,22.60%,"$1,693 ",Upgrade the Lighting to LED Lighting,$115 ,$864 ,,4.4,"$1,185 ",2.7,,-11,440,0.4,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
22,4.76%,52.90%,$440 ,Insulate Steam Piping,$233 ,"$1,715 ",,1.9,-,4.9,,203,-,-,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
23,<1%,89.40%,$45 ,Reduce Building Envelope Infiltration Losses,$40 ,$238 ,,1.1,-,6.3,,35,-,-,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
24,<1%,80.10%,$55 ,"Seal, Insulate, and Cover Skylight",$44 ,$808 ,,1.2,-,15.7,,38,-,-,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
25,1.51%,8.40%,$875 ,Convert Boiler to Electronic Ignition,$74 ,$7 ,,11.8,-,1,,64,-,-,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
26,1.35%,-,No Cost.,Shop Around for New Energy Supplier(s),$66 ,$186 ,,Immediate,-,-,,-,-,-,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
27,11.71%,10.00%,"$6,750 ",Install Photovoltaic Solar Cells,$572 ,"$4,231 ",,10,"$1,013 ",1.7,,-,"1,974",-,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",Bronx,"Energy Assessment For: Damascus Christian Church - 837 Manida Street, 837 Manida Street, Bronx, NY 10474",2027400092,1014727,237111
28,10.85%,16.30%,"$16,523 ",Upgrade the Lighting to LED Lighting,"$2,688 ","$15,564 ",,6.1,-,1.9,-189,-,"13,982",7,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",Bronx,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",2031640009,1012032,251921
29,10.84%,12.80%,"$20,999 ",Add Insulation to the Walls and Roof,"$2,683 ","$31,598 ",,7.8,-,2.5,869,-,"1,091",-,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",Bronx,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",2031640009,1012032,251921
30,13.50%,11.10%,"$30,000 ",Replace Windows and Doors,"$3,343 ","$19,735 ",,9,-,1.7,"1,082",-,"1,359",-,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",Bronx,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",2031640009,1012032,251921
31,16.88%,4.90%,"$86,125 ",Replace Boiler with Gas-Fired Rooftop Units,"$4,181 ","($23,925)",,20.6,-,0.7,"3,213","-4,188",-,-,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",Bronx,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",2031640009,1012032,251921
32,2.04%,0.60%,"$86,125 ",Replace Cooling Equipment with New Rooftop Units,$504 ,"($80,103)",,170.7,-,0.1,-,-,"2,193",28.5,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",Bronx,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",2031640009,1012032,251921
33,1.06%,7.50%,"$3,500 ",Replace Domestic Hot Water Heater (DHW),$262 ,($371),,13.4,-,0.9,134,-99,-,-,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",Bronx,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",2031640009,1012032,251921
34,30.55%,9.20%,"$96,250 ",Install Photovoltaic Solar Cells,"$7,566 ","$49,929 ",,10.8,"$14,438 ",1.6,-,-,"32,894",-,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",Bronx,"Energy Assessment For: Love Gospel Assembly Sanctuary, 2323 Grand Concourse, Bronx, NY 10458",2031640009,1012032,251921
35,1.35%,29.60%,"$1,643 ",Upgrade the Lighting to LED Lighting,$487 ,"$4,165 ",,3.4,-,3.5,,-51,"2,399",0.4,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",2026140043,1010981,241349
36,3.90%,562.40%,$250 ,Reduce Building Envelope Infiltration Losses,"$1,406 ","$9,620 ",,0.2,-,39.5,,"1,062",205,-,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",2026140043,1010981,241349
37,<1%,32.20%,$950 ,Seal Rooftop Duct Breeches,$306 ,"$3,259 ",,3.1,-,4.4,,211,158,-,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",2026140043,1010981,241349
38,<1%,9.60%,"$2,250 ",Replace (3) Single-Pane Windows,$216 ,$967 ,,10.4,-,1.4,,163,31,-,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",2026140043,1010981,241349
39,1.50%,15.40%,"$3,500 ",Replace Old Residential Style Refrigerators with ENERGY STAR Units,$540 ,"$1,872 ",,6.5,-,1.5,,-,"2,346",-,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",2026140043,1010981,241349
40,<1%,12.30%,"$1,500 ",Repair Commercial Freezer to Prevent Ice Formation,$184 ,$333 ,,8.1,-,1.2,,-,801,-,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",2026140043,1010981,241349
41,33.60%,10.20%,"$140,000 ",Install Photovoltaic Solar Cells,"$12,105 ","$91,784 ",,9.8,"$21,000 ",1.8,,-,"52,630",-,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Dominion Cathedral, 1175 Boston Rd., Bronx, NY 10456",2026140043,1010981,241349
42,4.95%,189.30%,$850 ,Optimize Temperature Setpoint Schedule,"$1,609 ","$14,039 ",,0.5,-,17.5,,"1,257",-,-,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",Bronx,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",2047220110,1026380,259454
43,<1%,139.70%,$175 ,Improve HVAC Equipment Maintenance,$244 ,$516 ,,0.7,-,4,,-,"1,063",-,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",Bronx,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",2047220110,1026380,259454
44,1.37%,277.70%,$160 ,Reduce Building Envelope Infiltration Losses,$444 ,"$2,958 ",,0.4,-,19.5,,301,257,-,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",Bronx,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",2047220110,1026380,259454
45,2.90%,15.90%,"$5,920 ",Upgrade the Lighting to LED Lighting,$944 ,"$5,346 ",,6.3,-,1.9,,-104,"4,684",1,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",Bronx,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",2047220110,1026380,259454
46,3.09%,41.10%,"$2,450 ",Replace Old Refrigerators with ENERGY STAR Units,"$1,007 ","$7,570 ",,2.4,-,4.1,,-,"4,377",-,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",Bronx,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",2047220110,1026380,259454
47,4.32%,6.80%,"$20,640 ",Replace Main Boilers with High- Efficiency Condensing Technology,"$1,407 ",$292 ,,14.7,-,1,,"1,099",-,-,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",Bronx,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",2047220110,1026380,259454
48,23.25%,9.00%,"$98,750 ",Install Photovoltaic Solar Cells,"$7,566 ","$47,804 ",,11.1,"$14,813 ",1.6,,-,"32,894",-,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",Bronx,"Energy Assessment For: New Covenant Christian Church - 3501 Eastchester Rd, 3601 Eastchester Rd, Bronx, NY 10469",2047220110,1026380,259454
49,<1%,15.90%,$678 ,Upgrade the Lighting to LED Lighting,$108 ,$613 ,,6.3,-,1.9,-11,-,604,0.3,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",2028080021,1010244,249048
50,1.82%,98.30%,$425 ,Optimize Temperature Setpoint Schedule,$418 ,"$3,439 ",,1,-,9.1,149,-,-,-,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",2028080021,1010244,249048
51,1.26%,483.30%,$60 ,Reduce Building Envelope Infiltration Losses,$290 ,"$1,976 ",,0.2,-,33.9,98,-,67,-,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",2028080021,1010244,249048
52,<1%,184.90%,$75 ,Seal and Insulate Skylights,$139 ,"$2,644 ",,0.5,-,36.2,47,-,32,-,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",2028080021,1010244,249048
53,1.15%,27.70%,$950 ,Conduct Commercial Refrigerator Maintenance on 2-Door Refrigerator,$263 ,"$1,669 ",,3.6,-,2.8,-,-,"1,144",-,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",2028080021,1010244,249048
54,1.44%,10.50%,"$3,150 ",Replace Cooling Equipment with ENERGY STAR Units,$331 ,$804 ,,9.5,-,1.3,-,-,"1,440",1.5,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",2028080021,1010244,249048
55,26.64%,6.80%,"$89,320 ",Replace Boiler and Convert to a Hot Water Distribution System,"$6,113 ","$1,624 ",,14.6,-,1,"4,099","-4,158",-,-,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",2028080021,1010244,249048
56,32.98%,9.00%,"$98,750 ",Install Photovoltaic Solar Cells,"$7,566 ","$47,804 ",,11.1,"$14,813 ",1.6,-,-,"32,894",-,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",Bronx,"Energy Assessment For: New Covenant Christian Church - 1925 Grand Concourse, 1925 Grand Concourse, Bronx, NY 10456",2028080021,1010244,249048
57,3.37%,19.60%,"$2,705 ",Upgrade the Lighting to LED Lighting,$159 ,"$1,088 ",,5.1,"$1,894 ",2.3,-21,-,987,2,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",Bronx,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",2029810026,1014921,243021
58,11.64%,129.30%,$425 ,Optimize Temperature Setpoint Schedule,$550 ,"$4,659 ",,0.8,-,12,170,-,-,-,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",Bronx,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",2029810026,1014921,243021
59,6.89%,55.60%,$585 ,Reduce Building Envelope Infiltration Losses,$325 ,"$5,078 ",,1.8,-,9.7,100,-,-,-,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",Bronx,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",2029810026,1014921,243021
60,7.34%,15.90%,"$2,175 ",Add Attic Insulation and Insulate and Seal Skylight,$346 ,"$4,616 ",,6.3,-,3.1,107,-,-,-,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",Bronx,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",2029810026,1014921,243021
61,37.48%,6.80%,"$26,058 ",Replace Boiler with Hydronic Boiler and Convert Distribution System,"$1,770 ",$268 ,,14.7,-,1,911,-931,-,-,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",Bronx,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",2029810026,1014921,243021
62,8.01%,8.20%,"$5,438 ",Install Photovoltaic Solar Cells,$378 ,"$1,966 ",,12.2,$816 ,1.4,-,-,"1,645",-,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",Bronx,"Energy Assessment For: Templo Christiano Carismatico Rios De Agua Viva, 1505 Hoe Ave., Bronx, NY 10460",2029810026,1014921,243021
